Date,Type,Link
2021-02-17 20:21:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6767788284052557826?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6767788284052557826%2C6767794088671494144%29
2021-02-15 18:46:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6766988815019057152
2021-02-11 16:01:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6764852162427158528
2021-02-09 02:42:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6764628776568651776
2021-02-08 15:46:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6763718704757825536?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6763718704757825536%2C6763718836765167616%29
2021-02-08 09:46:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A7719682222878656309
2021-02-08 09:32:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6762728469903220736
2021-02-05 17:55:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6763081718665687040
2021-01-29 13:54:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6760470274606415872
2021-01-29 13:51:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6759533115489705984
2021-01-19 09:00:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6757162587990843392
2021-01-13 16:56:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6752582536309870593
2021-01-13 16:54:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6755049914994069504
2020-12-31 04:17:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6747832241470091264
2020-12-28 22:41:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6746733132847845377
2020-12-28 22:40:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6747532178533433345
2020-12-26 20:19:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6747821395251621888
2020-12-26 20:14:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6745580816346185728
2020-12-15 14:18:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6744559247897444352
2020-12-14 06:34:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6743853878233583616
2020-12-11 11:04:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6741588540469080064?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6741588540469080064%2C6741995814832406528%29
2020-12-10 19:55:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6742885836729131008
2020-12-03 20:37:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6738799567837384704
2020-12-03 15:19:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6740171996245581824
2020-12-03 05:14:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6739144760747024384
2020-12-03 04:20:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6739575860262772736
2020-11-24 21:05:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6737078828151189504
2020-11-24 02:32:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6736790754233982976
2020-11-23 14:52:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6736642092317179904
2020-11-23 14:48:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6736427080734654464
2020-11-23 14:40:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6736026729057398784
2020-11-21 17:05:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6735901618790776832
2020-11-20 19:26:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6735451975921487872
2020-11-03 22:18:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6729440425159090176
2020-11-03 01:02:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6728186183685300224
2020-10-29 22:07:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6727504629858349056
2020-10-29 22:04:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6727654100349042690
2020-10-27 22:01:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6726392188911058944?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A6726392188911058944%2C6726754428013174785%29
2020-10-17 11:22:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6723189644990664704
2020-10-14 13:16:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6720713643287212032
2020-10-06 10:22:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6718954226447454208
2020-09-21 22:59:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6713829529862840320
2020-09-19 13:59:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6713075711483121664
2020-09-14 13:54:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6709838552047333376
2020-09-09 19:12:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6709441596120670209
2020-09-09 13:24:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6709445196595240960
2020-09-08 22:55:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6708875586112163840
2020-09-07 10:24:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6708399161982648320
2020-09-07 10:22:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6704316388435120128
2020-09-02 18:33:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6705855445938036736
2020-08-31 09:49:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6705704400511369216
2020-08-31 01:26:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6705550043824361472
